loan_id,funded_amount,funded_date,duration years,treasury index,interest rate percent,payments,total past payments,loan balance,property value,purpose
LL0000076,790000.0,2012-04-27,20,1.96,3.359,4524.65,92,373732.18,930250.0,boat
LL0000151,1720000.0,2014-10-14,15,2.21,3.508,12302.74,62,957230.24,1995250.0,boat
LL0000161,3720000.0,2014-06-07,15,2.6,3.8960000000000004,27322.92,66,1916687.35,3881700.0,boat
LL0000175,1079000.0,2012-02-23,20,1.99,3.389,6196.4,94,496538.75,1402450.0,boat
LL0000178,2028000.0,2016-04-01,20,1.79,3.188,11439.05,45,1513242.57,2216500.0,boat
LL0000195,612000.0,2017-10-26,20,2.4609,3.86,3663.61,26,516746.19,711850.0,boat
LL0000206,630000.0,2017-12-07,15,2.37,3.6689999999999996,4556.23,24,520650.57,667750.0,boat
LL0000234,795000.0,2017-10-06,20,2.3589,3.758,4716.77,26,672363.91,895850.0,boat
LL0000250,2004000.0,2019-10-12,15,1.76,3.0580000000000003,13895.23,2,1976209.55,2068050.0,boat
LL0000311,4752000.0,2019-09-20,20,1.74,3.135,26676.78,3,4671969.67,4937150.0,boat
LL0000319,1790000.0,2018-12-11,20,2.89,4.288,11120.61,12,1656552.66,1869300.0,boat
LL0000327,1890000.0,2016-06-13,20,1.62,3.0180000000000002,10498.93,42,1449044.81,1954850.0,boat
LL0000400,1310000.0,2017-01-08,20,2.4193,3.818,7813.28,35,1036535.37,1364400.0,boat
LL0000527,5577000.0,2015-07-14,20,2.41,3.804,33222.32,53,3816216.9,5718600.0,boat
LL0000544,1640000.0,2018-12-10,15,2.85,4.148,12252.87,12,1492965.52,1719350.0,boat
LL0000549,728000.0,2017-12-19,20,2.46,3.859,4357.64,24,623416.73,825150.0,boat
LL0000558,1368000.0,2015-12-23,20,2.27,3.6689999999999996,8053.16,48,981448.18,1561500.0,boat
LL0000568,1380000.0,2018-05-12,20,2.97,4.369,8633.28,19,1215967.68,1589950.0,boat
LL0000569,1290000.0,2012-09-17,20,1.85,3.2489999999999997,7316.17,87,653493.12,1603100.0,boat
LL0000578,638000.0,2014-04-20,15,2.73,4.029,4728.49,68,316462.94,802100.0,boat
LL0000603,1180000.0,2018-03-03,15,2.86,4.159,8822.64,21,994724.64,1273450.0,boat
LL0000612,1100000.0,2014-05-19,20,2.54,3.9389999999999996,6630.48,67,655757.87,1382650.0,boat
LL0000617,1020500.0,2014-09-09,15,2.5,3.799,7446.14,63,551393.34,1177500.0,boat
LL0000619,1730000.0,2013-11-13,20,2.75,4.148,10618.87,73,954822.78,1962000.0,boat
LL0000625,688000.0,2016-12-07,20,2.3401,3.739,4075.13,36,541295.17,864000.0,boat
LL0000638,496000.0,2015-02-11,20,2.0,3.4,2851.18,58,330631.67,645250.0,boat
LL0000642,1670000.0,2015-07-05,20,2.4,3.798,9943.0,53,1143020.89,1812050.0,boat
LL0000651,1850000.0,2012-08-28,15,1.64,2.938,12720.67,88,730581.2,2164100.0,boat
LL0000703,808500.0,2014-08-25,15,2.39,3.6889999999999996,5855.16,64,433770.0,966250.0,boat
LL0000706,1460000.0,2016-01-22,15,2.07,3.3689999999999998,10343.61,47,973850.11,1592000.0,boat
LL0000749,676500.0,2012-05-19,20,1.71,3.109,3788.87,91,331712.54,815650.0,boat
LL0000842,1524000.0,2018-11-16,15,3.08,4.379,11563.7,13,1373671.91,1604550.0,boat
LL0000888,1932000.0,2019-08-16,15,1.55,2.8480000000000003,13201.26,4,1879194.98,1938900.0,boat
LL0000898,1560000.0,2012-10-19,20,1.79,3.188,8799.27,86,803262.59,1871500.0,boat
LL0000913,1180000.0,2018-04-28,20,2.96,4.359,7375.75,20,1032484.97,1330650.0,boat
LL0000966,1540000.0,2019-10-19,20,1.76,3.159,8663.12,2,1522673.76,1723700.0,boat
LL0001011,1450000.0,2015-06-04,15,2.31,3.609,10443.59,54,886046.39,1533600.0,boat
LL0001097,1670000.0,2012-07-10,20,1.53,2.928,9201.7,89,851048.36,1806550.0,boat
LL0001110,1190000.0,2015-05-12,10,2.28,3.4789999999999996,11755.72,55,543435.65,1454750.0,boat
LL0001113,799500.0,2015-10-07,20,2.08,3.4789999999999996,4628.16,50,568092.24,936850.0,boat
LL0001115,3840000.0,2017-04-10,20,2.3661,3.762,22790.9,32,3110691.22,3949800.0,boat
LL0001131,1200000.0,2018-10-10,20,3.22,4.619,7669.09,14,1092632.72,1402400.0,boat
LL0001165,1650000.0,2018-09-27,15,3.06,4.3580000000000005,12502.97,15,1462455.39,1733050.0,boat
LL0001203,1344000.0,2018-07-02,20,2.87,4.269,8336.14,17,1202285.65,1431400.0,boat
LL0001248,1330000.0,2016-01-08,15,2.13,3.429,9461.63,47,885303.25,1522700.0,boat
LL0001319,1120000.0,2014-02-20,20,2.76,4.159,6881.18,70,638317.24,1347050.0,boat
LL0001335,3672000.0,2019-06-10,15,2.15,3.446,26153.22,6,3515080.68,3862250.0,boat
LL0001346,1452000.0,2012-09-18,15,1.82,3.1189999999999998,10110.56,87,572381.62,1645050.0,boat
LL0001352,877500.0,2016-02-10,15,1.71,3.009,6063.65,46,598571.97,948550.0,boat
LL0001355,1860000.0,2016-06-15,20,1.6,2.998,10313.65,42,1426826.57,2104750.0,boat
LL0001399,3192000.0,2013-02-26,20,1.88,3.2769999999999997,18148.64,82,1703811.82,3497000.0,boat
LL0001434,640000.0,2016-06-13,15,1.62,2.9189999999999996,4394.83,42,455417.01,884850.0,boat
LL0001449,1180000.0,2017-12-23,20,2.48,3.8789999999999996,7075.56,24,1010186.63,1216950.0,boat
LL0001457,5148000.0,2016-03-28,15,1.89,3.185,36010.98,45,3527506.07,5336700.0,boat
LL0001458,1692000.0,2018-09-24,15,3.08,4.378,12838.44,15,1499423.43,1715200.0,boat
LL0001538,803000.0,2018-04-13,20,2.82,4.218999999999999,4959.19,20,703816.3,954400.0,boat
LL0001556,1200000.0,2017-09-21,15,2.2765,3.575,8622.86,27,967182.9,1301600.0,boat
LL0001599,2232000.0,2017-06-15,15,2.1637,3.4619999999999997,15913.47,30,1754596.04,2338500.0,boat
LL0001605,1956000.0,2012-09-23,15,1.77,3.068,13571.84,87,775250.05,2148800.0,boat
LL0001634,3927000.0,2017-06-28,15,2.2279,3.5239999999999996,28119.74,30,3083407.7,4092850.0,boat
LL0001656,1750000.0,2017-10-03,20,2.3229,3.721,10349.15,26,1480922.01,1851000.0,boat
LL0001718,1632000.0,2015-04-23,20,1.96,3.358,9346.29,56,1108607.6,1837700.0,boat
LL0000724,6270000.0,2013-04-08,15,1.76,3.054,43462.49,80,2793000.53,6572950.0,investment property
LL0000064,6138000.0,2013-09-25,30,2.63,4.224,30101.92,75,3880356.26,6432450.0,investment property
LL0000818,6237000.0,2019-06-16,15,2.09,3.384,44232.78,6,5971603.31,6426950.0,commercial property
LL0000938,6237000.0,2014-03-18,30,2.68,4.274,30769.99,69,4113870.97,6402750.0,investment property
LL0000753,6270000.0,2017-02-09,30,2.3948,3.989,29894.19,34,5253597.52,6382800.0,home
LL0000911,6171000.0,2016-07-27,30,1.52,3.114,26398.13,41,5088676.69,6353650.0,home
LL0000786,6072000.0,2013-07-22,30,2.5,4.093999999999999,29318.67,77,3814462.04,6309700.0,home
LL0001678,6171000.0,2015-05-21,30,2.19,3.784,28698.05,55,4592607.25,6255300.0,commercial property
LL0000467,6171000.0,2015-11-19,30,2.24,3.8339999999999996,28873.8,49,4756183.9,6246200.0,home
LL0001260,6105000.0,2018-09-21,30,3.07,4.664,31530.87,15,5632036.89,6188350.0,commercial property
LL0001210,6039000.0,2012-02-20,30,2.01,3.6039999999999996,27469.61,94,3456856.83,6182600.0,commercial property
LL0000080,5940000.0,2012-09-14,30,1.88,3.4739999999999998,26587.12,87,3626920.62,6133250.0,commercial property
LL0000922,6039000.0,2016-05-15,15,1.71,3.0039999999999996,41715.84,43,4245218.71,6105300.0,commercial property
LL0000826,5808000.0,2013-02-20,15,2.02,3.3139999999999996,40991.9,82,2446663.95,5993300.0,investment property
LL0000265,5907000.0,2018-10-24,30,3.1,4.694,30614.64,14,5478395.09,5988700.0,home
LL0000200,5775000.0,2016-04-06,30,1.76,3.3539999999999996,25463.97,44,4654585.18,5963250.0,investment property
LL0001206,5643000.0,2012-08-21,30,1.8,3.3939999999999997,25006.88,88,3442394.89,5897450.0,commercial property
LL0000664,5808000.0,2018-10-14,30,3.15,4.744,30276.28,14,5384132.14,5890200.0,investment property
LL0001280,5841000.0,2018-12-09,30,2.85,4.444,29401.45,12,5488182.55,5860400.0,commercial property
LL0001471,5709000.0,2012-08-10,30,1.65,3.2439999999999998,24827.13,88,3524212.31,5844000.0,commercial property
LL0001408,5709000.0,2016-02-28,30,1.76,3.3539999999999996,25172.96,46,4551044.0,5839150.0,commercial property
LL0000668,5544000.0,2015-08-11,30,2.15,3.745,25656.26,52,4209874.65,5804200.0,investment property
LL0001333,5610000.0,2017-04-07,30,2.3822,3.977,26708.66,32,4755322.75,5779950.0,investment property
